[2021-12-05 21:20:29,901][model.py][line:24][INFO] start training!
[2021-12-05 21:20:30,116][model.py][line:55][INFO] Training epoch£º0 , Loss: 0.459741	, Validation Loss£º0.83%	, Validation Accuracy: 0.32%
[2021-12-05 21:20:54,942][model.py][line:55][INFO] Training epoch£º5 , Loss: 0.452855	, Validation Loss£º0.32%	, Validation Accuracy: 0.88%
[2021-12-05 21:20:56,411][model.py][line:55][INFO] Training epoch£º5 , Loss: 0.446283	, Validation Loss£º0.36%	, Validation Accuracy: 0.88%
[2021-12-05 21:20:57,852][model.py][line:55][INFO] Training epoch£º5 , Loss: 0.440363	, Validation Loss£º0.31%	, Validation Accuracy: 0.87%
[2021-12-05 21:20:58,310][model.py][line:55][INFO] Training epoch£º6 , Loss: 0.439454	, Validation Loss£º0.39%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:59,723][model.py][line:55][INFO] Training epoch£º6 , Loss: 0.434226	, Validation Loss£º0.31%	, Validation Accuracy: 0.89%
[2021-12-05 21:21:01,163][model.py][line:55][INFO] Training epoch£º6 , Loss: 0.428918	, Validation Loss£º0.35%	, Validation Accuracy: 0.88%
[2021-12-05 21:21:02,669][model.py][line:55][INFO] Training epoch£º6 , Loss: 0.424121	, Validation Loss£º0.30%	, Validation Accuracy: 0.87%
[2021-12-05 21:21:03,129][model.py][line:55][INFO] Training epoch£º7 , Loss: 0.423383	, Validation Loss£º0.39%	, Validation Accuracy: 0.86%
[2021-12-05 21:21:04,570][model.py][line:55][INFO] Training epoch£º7 , Loss: 0.419073	, Validation Loss£º0.30%	, Validation Accuracy: 0.89%
[2021-12-05 21:21:06,001][model.py][line:55][INFO] Training epoch£º7 , Loss: 0.414656	, Validation Loss£º0.34%	, Validation Accuracy: 0.88%
[2021-12-05 21:21:07,439][model.py][line:55][INFO] Training epoch£º7 , Loss: 0.410633	, Validation Loss£º0.30%	, Validation Accuracy: 0.87%
[2021-12-05 21:21:07,892][model.py][line:55][INFO] Training epoch£º8 , Loss: 0.410009	, Validation Loss£º0.39%	, Validation Accuracy: 0.85%
[2021-12-05 21:21:09,280][model.py][line:55][INFO] Training epoch£º8 , Loss: 0.406365	, Validation Loss£º0.30%	, Validation Accuracy: 0.89%
[2021-12-05 21:21:10,624][model.py][line:55][INFO] Training epoch£º8 , Loss: 0.402560	, Validation Loss£º0.33%	, Validation Accuracy: 0.88%
[2021-12-05 21:21:11,966][model.py][line:55][INFO] Training epoch£º8 , Loss: 0.399097	, Validation Loss£º0.29%	, Validation Accuracy: 0.88%
[2021-12-05 21:21:12,403][model.py][line:55][INFO] Training epoch£º9 , Loss: 0.398557	, Validation Loss£º0.39%	, Validation Accuracy: 0.85%
[2021-12-05 21:21:13,735][model.py][line:55][INFO] Training epoch£º9 , Loss: 0.395410	, Validation Loss£º0.29%	, Validation Accuracy: 0.89%
[2021-12-05 21:21:15,064][model.py][line:55][INFO] Training epoch£º9 , Loss: 0.392084	, Validation Loss£º0.32%	, Validation Accuracy: 0.88%
[2021-12-05 21:21:16,386][model.py][line:55][INFO] Training epoch£º9 , Loss: 0.389046	, Validation Loss£º0.29%	, Validation Accuracy: 0.88%
